FIPS,State,County,Life Expectancy,Age-Adjusted Mortality,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,HIV Prevalence Rate,% Food Insecure,% Limited Food Access,Drug Overdose Mortality Rate,Motor Vehicle Mortality Rate,% Insufficient Sleep,% Uninsured Adults,% Uninsured Children,% Disconnected Youth,Household Income,% Free or Reduced Lunch,Homicide Rate,Firearm Fatalities Rate,% Homeowners,% Severe Housing Cost Burden,Population,% < 18,% 65 and over,% African American,% American Indian/Alaskan Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,Premature Death Years,% Fair/Poor Health,Physically Unhealthy Days,Mentally Unhealthy Days,% Low Birth Wt,% Smokers,% Obese,Food Environment Index,% Physically Inactive,% With Access to Exercise,% Excessive Drinking,% Alcohol-Impaired Deaths,Chlamydia Rate,Teen Birth Rate,% Uninsured,PCP Ratio,Dentist Ratio,MHP Ratio,Preventable Hosp. Rate,%  Mammograph Screened,% Flu Vaccinated,HS Graduation Rate,% Some College,% Unemployed,% Children in Poverty,80/20 Income Ratio,% Single-Parent Households,Social Association Rate,Violent Crime Rate,Injury Death Rate,Average Daily Particulate Matter 2.5,Presence of drinking water violation,% Severe Housing Problems,% Drive Alone,% Long Commute - Drives Alone
1001,Alabama,Autauga,76.3,439,53,8,13,13,14,226,13,12,10,20,36,11,2,8,58343,48,5,18,73,13,55504,23.9,15.1,19.3,0.5,1.3,0.1,2.9,74.5,1,51.3,42,0.15898,18,4.2,4.3,8,19,38,7.2,31,69,17,29,341.2,27,9,2409,3084,6167,6599,44,41,90,61,3.9,19,4.6,25,12.6,272,74,11.7,No,15,86,38
1003,Alabama,Baldwin,78.6,348,47,6,13,13,11,164,12,5,16,15,33,14,3,8,56607,45,3,14,73,13,212628,21.8,19.9,9,0.8,1.2,0.1,4.6,83,0,51.5,42.3,0.03398,18,4.1,4.2,8,17,31,8,24,72,17,32,338.8,30,11,1372,2006,1096,3833,45,45,86,66,4,15,4.5,25,10.7,204,69,10.3,Yes,14,85,41
1005,Alabama,Barbour,75.8,470,77,,16,15,18,436,23,11,,21,39,17,3,12,32490,74,7,15,63,14,25270,20.8,18.8,47.9,0.7,0.5,0.2,4.2,46,1,47.2,67.8,0.37935,26,5.1,4.6,11,22,44,5.6,28,54,13,30,557.9,45,13,2597,2808,12635,4736,46,37,81,37,5.9,50,5.8,57,8.5,414,73,11.5,No,15,83,34
1007,Alabama,Bibb,73.9,564,112,15,13,13,15,192,16,3,22,25,38,12,3,,45795,65,8,21,75,9,22668,20.6,16,21.5,0.4,0.2,0.1,2.6,74.3,0,46.5,68.4,0.51983,20,4.4,4.3,11,20,38,7.6,35,16,16,27,302.1,45,10,1742,3778,11334,5998,44,39,84,48,4.4,27,4.3,30,10.2,89,100,11.2,No,11,86,49
1009,Alabama,Blount,74.6,502,76,6,14,14,14,95,11,3,25,26,36,16,3,15,48253,53,7,20,79,8,58013,23.3,17.8,1.5,0.6,0.3,0.1,9.6,86.9,2,50.7,90,0.18803,21,4.5,4.7,8,20,34,8.5,29,23,15,22,114.3,36,12,4439,4834,9669,4162,36,38,93,54,4,19,4.1,30,9,483,105,11.7,No,10,87,60
1011,Alabama,Bullock,73.1,568,135,,17,15,20,691,26,20,,46,45,18,3,,29113,69,,19,70,19,10309,20.7,15.8,69.2,0.8,0.2,0.8,8.2,21.3,1,45.5,51.4,1.17052,29,5.2,4.8,14,23,39,4.2,29,27,13,61,733.9,55,13,3454,5155,10309,6767,44,26,70,34,4.9,48,6.6,76,9.7,311,110,11.2,No,21,73,47
1013,Alabama,Butler,73.5,577,123,,16,15,18,268,22,3,,27,42,14,2,13,36842,79,17,24,70,11,19825,22.7,19.6,44.6,0.4,1,0.1,1.4,51.6,1,53.4,71.2,0.70712,27,5.1,5.1,12,22,40,6.5,35,49,13,31,827.7,42,11,3333,3304,2832,7962,42,35,82,38,5.5,33,5.1,53,11.5,582,95,10.6,No,14,84,32
1015,Alabama,Calhoun,73.1,572,77,8,13,14,16,211,17,9,19,18,41,14,2,7,45937,59,10,24,69,12,114728,21.8,17.3,20.8,0.5,1,0.1,3.7,72.3,1,51.9,33.7,0.10649,20,4.3,4.5,9,20,37,6.9,30,45,15,18,587.5,37,11,1549,1550,1015,6450,33,38,92,58,4.9,24,5,39,14.3,756,82,11.8,No,15,85,31
1017,Alabama,Chambers,74.1,536,87,8,15,15,17,367,20,10,,24,37,14,2,13,36883,56,10,24,66,13,33713,21.1,19.1,39.5,0.3,1.2,0,2.4,55.5,0,52.1,49.1,0.33439,25,5,4.9,12,22,40,6.3,32,62,14,34,792.3,50,11,1991,4816,16857,5511,38,43,86,47,4.1,30,4.7,48,17.7,529,81,11.4,No,16,87,31
1019,Alabama,Cherokee,74.3,537,,,13,14,14,90,13,0,14,34,35,15,3,,44842,64,8,25,78,10,25857,19.7,22.6,4.2,0.6,0.3,0,1.6,91.7,0,50.3,85.7,0.4368,19,4.3,4.7,8,19,36,8.5,32,33,15,18,169,41,12,2858,6464,5171,6577,33,43,95,50,4.1,25,4.8,26,10.1,330,106,11.4,No,15,85,43
